Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rank
2007,NBA,BOS,66,16,1,,27.9,6-Jun,220,,82,240.9,36.4,76.7,0.475,7.3,19.1,0.381,29.1,57.6,0.506,20.5,26.5,0.771,10.1,31.9,42,22.4,8.5,4.6,15.2,22.7,100.5,12
1985,NBA,BOS,67,15,1,,29.3,6-Jul,204,,82,242.1,45.3,89.2,0.508,1.7,4.8,0.351,43.7,84.4,0.517,21.8,27.4,0.794,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1,34
1983,NBA,BOS,62,20,1,,28,6-Jul,204,,82,243.4,44.1,88.2,0.5,0.7,2.8,0.24,43.4,85.4,0.508,23.3,29.4,0.792,14.1,31,45.1,25.9,8.2,5.2,17.3,23.8,112.1,36
1980,NBA,BOS,62,20,1,,27,6-Jul,200,,82,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,39
1975,NBA,BOS,54,28,1,,29,6-May,203,,82,240.9,43,96.4,0.446,,,,43,96.4,0.446,20.2,25.9,0.78,16.7,36.2,52.9,24.1,6.8,3.2,19.6,24.4,106.2,44
1973,NBA,BOS,56,26,1,,28.5,6-May,209,,82,241.2,44.3,97.2,0.456,,,,44.3,97.2,0.456,20.5,25.6,0.8,16.8,37.5,54.3,26.7,6.8,3.7,21.9,22.8,109,46
1968,NBA,BOS,48,34,4,,30.5,6-May,203,,82,241.8,43.7,101.4,0.431,,,,43.7,101.4,0.431,23.6,32.4,0.729,,,59,23.8,,,,25.3,111,51
1967,NBA,BOS,54,28,2,,29.5,6-May,205,,82,240.3,45,102.1,0.44,,,,45,102.1,0.44,26.2,36.4,0.721,,,69.1,21.9,,,,26.2,116.1,52
1965,NBA,BOS,54,26,2,,28.8,6-May,208,,80,240.3,43.6,104.6,0.417,,,,43.6,104.6,0.417,25.5,34.5,0.739,,,69.9,22.4,,,,25.2,112.7,54
1964,NBA,BOS,62,18,1,,28.3,6-May,209,,80,240.9,44.6,107.6,0.414,,,,44.6,107.6,0.414,23.6,32.3,0.731,,,71.9,22.2,,,,25.8,112.8,55
1963,NBA,BOS,59,21,1,,28.4,6-May,208,,80,,45.2,109.6,0.413,,,,45.2,109.6,0.413,22.6,31.1,0.725,,,71.7,22,,,,26.6,113,56
1962,NBA,BOS,58,22,1,,28.3,6-May,204,,80,,46.8,109.7,0.427,,,,46.8,109.7,0.427,25.2,34.7,0.725,,,72.7,24.5,,,,26.1,118.8,57
1961,NBA,BOS,60,20,1,,27.9,6-May,203,,80,,48.2,113.9,0.423,,,,48.2,113.9,0.423,24.7,33.9,0.728,,,76,25.6,,,,23.9,121.1,58
1960,NBA,BOS,57,22,1,,28.3,6-Apr,202,,79,,46.8,117.7,0.398,,,,46.8,117.7,0.398,26.1,35.5,0.735,,,77.6,23.7,,,,25.7,119.7,59
1959,NBA,BOS,59,16,1,,27.5,6-Apr,202,,75,,49.9,119.6,0.417,,,,49.9,119.6,0.417,24.7,33.6,0.734,,,80.2,24.7,,,,24.7,124.5,60
1958,NBA,BOS,52,20,1,,27.1,6-Apr,200,,72,,44.6,112.7,0.395,,,,44.6,112.7,0.395,27.3,35.6,0.766,,,77.8,21.8,,,,24.6,116.4,61
1956,NBA,BOS,44,28,1,,27,6-Apr,201,,72,,39,101.8,0.383,,,,39,101.8,0.383,27.5,36.7,0.75,,,68.9,20.3,,,,25.7,105.5,63
